;model_id;phi;sigma;abs_metric;acf_id_lag=1;cross_correl;sig_w1_metric;r2_tstr;r2_trtr
0;GMMN;0,80000;0,50000;0,00529;0,05261;0,02753;0,65074;0,58457;0,64654
1;GMMN;0,50000;0,80000;0,00817;0,05012;0,01349;0,40819;0,21380;0,24979
2;GMMN;0,20000;0,80000;0,00666;0,01900;0,00955;0,38795;0,02284;0,03932
3;GMMN;0,80000;0,80000;0,00528;0,03363;0,01865;0,52710;0,60933;0,64803
4;GMMN;0,80000;0,20000;0,00533;0,07658;0,04146;0,70570;0,57539;0,64503
5;RCGAN;0,80000;0,50000;0,01216;0,02707;0,07530;0,60383;0,61812;0,64654
6;RCGAN;0,50000;0,80000;0,01198;0,02092;0,20911;0,67067;0,19871;0,24979
7;RCGAN;0,20000;0,80000;0,00606;0,01690;0,09615;0,42536;0,01672;0,03932
8;RCGAN;0,80000;0,80000;0,00797;0,05272;0,03206;0,69220;0,57628;0,64803
9;RCGAN;0,80000;0,20000;0,00714;0,07220;0,02246;0,78325;0,61265;0,64503
10;SigCGAN;0,80000;0,50000;0,00540;0,00160;0,01307;0,13637;0,64592;0,64654
11;SigCGAN;0,50000;0,80000;0,00833;0,00631;0,01211;0,20135;0,24819;0,24979
12;SigCGAN;0,20000;0,80000;0,00780;0,01234;0,00734;0,25008;0,03834;0,03932
13;SigCGAN;0,80000;0,80000;0,00586;0,00268;0,00873;0,13465;0,64751;0,64803
14;SigCGAN;0,80000;0,20000;0,00627;0,00103;0,01358;0,13581;0,64434;0,64503
15;TimeGAN;0,80000;0,50000;0,01631;0,09163;0,19651;0,63212;0,60306;0,64654
16;TimeGAN;0,50000;0,80000;0,02108;0,09782;0,05572;0,53776;0,23330;0,24979
17;TimeGAN;0,20000;0,80000;0,02085;0,05359;0,02337;0,68533;0,02628;0,03932
18;TimeGAN;0,80000;0,80000;0,00921;0,03662;0,05009;0,54956;0,58226;0,64803
19;TimeGAN;0,80000;0,20000;0,01591;0,11148;0,08514;0,63929;0,61632;0,64503
